pet_id,product_id,pet_name,species,breed,date_of_birth,gender,color,health_status,microchip_id,adoption_status,entry_date
1,924,Michael,Fish,Goldfish,1997-09-15,F,Black,Ask include less poor list.,081-58-3603,Available,2022-04-15
2,10060,Alexandria,Cat,Ragdoll,2020-07-11,M,Ivory,Product painting certain writer without general.,401-40-9034,Available,2021-12-31
3,2947,Courtney,Hamster,,1956-06-01,F,MistyRose,One cut letter price arrive.,496-04-5065,Available,2021-03-17
4,1564,Kathryn,Cat,Domestic Shorthair,2024-03-17,F,FloralWhite,Perform difficult plan early majority everyone.,358-32-6587,Available,2023-10-24
5,1006,Jasmine,Hamster,,1931-08-23,F,LightCyan,South memory at education.,711-59-6065,Available,2023-12-19
6,11340,Jeremy,Bird,Cockatiel,1952-04-13,M,Magenta,Cup full on imagine affect.,132-06-5267,Available,2024-12-13
7,4389,Walter,Rabbit,,2013-03-20,M,MediumAquaMarine,Dark stuff investment marriage church consider.,471-54-5731,Available,2021-07-17
8,3011,Michael,Fish,Betta,1993-03-29,F,PaleTurquoise,Court teach Republican bank question.,168-23-9033,Available,2021-07-17
9,1148,Wanda,Cat,Ragdoll,2010-12-10,F,DarkMagenta,Financial already hour cold.,274-29-4352,Available,2022-11-21
10,7193,Jeremiah,Dog,Dachshund,1988-10-09,M,LightGreen,Itself without spend travel who.,279-25-0201,Available,2020-06-01
11,36,James,Rabbit,,2014-05-09,F,Gainsboro,Same choose team question.,827-26-5819,Available,2020-06-17
12,7859,Lindsey,Bird,African Grey Parrot,1972-02-11,F,LightGoldenRodYellow,Remember future able I design.,636-58-0626,Available,2023-10-07
13,24,Kenneth,Reptile,,2004-06-17,M,BurlyWood,Song business research.,177-05-6657,Available,2020-03-08
14,3612,John,Rabbit,,1918-01-25,M,Lime,Human field reveal wonder appear science.,626-62-1514,Available,2020-09-18
15,11485,Marissa,Cat,Ragdoll,1920-03-30,M,Cornsilk,Since impact yes.,116-54-8842,Available,2024-03-27
16,6814,Francis,Rabbit,,1941-03-01,F,Maroon,Focus off prove while strong head.,021-63-4375,Available,2022-10-05
17,3252,Robert,Cat,Russian Blue,2002-06-07,M,Crimson,Step become matter machine nearly.,472-79-6434,Available,2020-08-18
18,7530,Aaron,Bird,Canary,1919-09-22,F,DarkGreen,Full amount that.,158-10-6609,Available,2023-09-23
19,6269,Paula,Dog,Mixed Breed,1982-08-16,M,SeaGreen,Example effect blue push help trade.,749-66-7157,Available,2023-11-13
20,8882,Justin,Hamster,,2015-07-27,M,GreenYellow,Represent growth if tough success.,514-75-5696,Available,2024-02-08
